line_number,lyric_line
661,For every down female that stuck with they dude
662,"Through the best times, through the worst times"
663,This for you
664,And I know you wouldn't leave
665,Believe it or not
666,"Make no mistake, girl, still love you"
667,"Take the top off, let the sun come in (The lord still shines on you)"
668,"Whoa, for all my dogs that stayed down, we up again (Again)"
669,"Oh, I got dirt on my name, I got white on my beard"
670,"I had debt on my books, it's been a shaky-ass year"
671,"Let me make this clear, so all y'all see"
672,I don't take advice from people less successful than me
673,"Hah? Ain't no love lost, but the gloves off"
674,And we up in this bitch until they turn the club off
675,"Had to tell the dogs, ""Turn the snubs off!"""
676,Plus they already mad that the Cubs lost
677,(Believe it or not) These two wrongs'll right you
678,(Believe it or not) I was too grown in high school
679,(Believe it or not) The true soul of Ice Cube
680,"Too close to snipe you, truth told, I like you"
681,"Too bold to type you, too rich to fight you"
682,"Calm down, you light skin!"
683,"Make no mistake, girl, still love you (Make no)"
684,"Make no mistake, girl, still love you (No way)"
685,"(Believe it or not, the Lord still shines on you)"
686,"Make no mistake, girl, still love you"
687,"(Believe it or not, the Lord still shines on you)"
688,"Make no mistake, girl, still love you"
689,"(Believe it or not, the Lord still shines on you)"
690,"Make no mistake, girl, still love you (No way)"
691,"Make no mistake, girl, still love you"
692,"Some day, some day"
693,"Some day I'll, I wanna wear a starry crown"
694,"Some day, some day, some day"
695,"I wanna lay down, like God did, on Sunday"
696,"Hold up, hold up"
697,"Some day, some days, I remembered this on a Sunday"
698,"Back way, yeah, way, way, burning, mhm-mhm"
699,"Uh, some days, not gonna please everybody"
700,Some days I wanna hit the red dot on everybody
701,"Some days, ohh (Heatstroke)"
702,"Now that I'm livin' high, I'm smokin' marijuana"
703,"Now that I'm livin' high, I do what I wanna, oh, yeah"
704,I've been tryin' to make you love me
705,But everything I try just takes you further from me
706,Some day we gon' set it off
707,Some day we gon' get this off
708,"Baby, don't you bet it all"
709,On a pack of Fentanyl
710,You might think they wrote you off
711,They gon' have to rope me off
712,Someday the drama'll be gone
713,And they'll play this song on and on
714,Sometimes I take all the shine
715,Talk like I drank all the wine
716,Years ahead but way behind
717,"I'm on one, two, three, four, five"
718,"No half-truths, just naked minds"
719,Caught between space and time
720,This not what we had in mind
721,But maybe some day
722,I've been tryin' to make you love me
723,But everything I try just takes you further from me
724,"Woah, once again I am a child"
725,"I let it all go, of everything that I know, yeah"
726,"Of everything that I know, yeah"
727,"And nothing hurts anymore, I feel kinda free"
728,"We're still the kids we used to be, yeah, yeah"
729,"I put my hand on a stove, to see if I still bleed, yeah"
730,"And nothing hurts anymore, I feel kinda free"
731,"We're still the kids we used to be, yeah, yeah"
732,"I put my hand on a stove, to see if I still bleed, yeah"
733,"And nothing hurts anymore, I feel kinda free"
734,"We're still the kids we used to be, yeah, yeah"
735,"I put my hand on a stove, to see if I still bleed, yeah"
736,"And nothing hurts anymore, I feel kinda free"
737,"We're still the kids we used to be, yeah, yeah"
738,"I put my hand on a stove, to see if I still bleed, yeah"
739,"And nothing hurts anymore, I feel kinda free"
740,"Fallin', dreamin', talkin' in your sleep"
741,"I know you want to cry all night, all night"
742,"Plottin', schemin', findin'"
743,Reason to defend all of your violent nights
744,Promise me you will see
745,"Don't you grow up in a hurry, your mom'll be worried, aw"
746,"It was all part of the story, even the scary nights"
747,"Thank you for all of the glory, you will be remembered, aw"
748,"Thank you to all of the heroes of the night (night, night)"
749,"They gotta repaint the colors, the lie is wearin' off"
750,"Reality is upon us, colors drippin' off"
751,Colors drippin' off
752,"Niggas is savage, niggas is monsters"
753,"Niggas is pimps, niggas is players"
754,"'Til niggas have daughters, now they precautious"
755,"Father, forgive me, I'm scared of the karma"
756,'Cause now I see women as somethin' to nurture
757,Not somethin' to conquer
758,"I hope she like Nicki, I make her a monster"
759,"Not havin' ménages, I'm just bein' silly"
760,I answered the door like Will Smith and Martin
761,"Nigga, do we have a problem?"
762,"Matter fact, Marlon, this ain't Meet the Fockers"
763,"I'll beat his ass, pray I beat the charges"
764,"No, Daddy don't play, not when it come to they daughters"
765,"Don't do no yoga, don't do pilates"
766,Just play piano and stick to karate
767,I pray your body's draped more like mine
768,And not like your mommy's
769,"Just bein' salty, but niggas is nuts"
770,"And I am a nigga, I know what they want"
771,I pray that you don't get it all at once
772,"Curves under your dress, I know it's pervs all on the net"
773,"All in the comments, you wanna vomit"
774,"That's your baby, you love her to death"
775,Now she cuttin' class and hangin' with friends
776,You break a glass and say it again
